id,diff_act,as_score,n_watchers,avg_activity_in_days,avg_age_in_days,binned_ip_reported
1211721,1.0,0.18447181379198088,0.0,0.1275,0.12561576354679804,1
1211794,0.975,0.00018085471940390284,0.0,0.5825,0.5886699507389163,1
1211850,0.9244448376537202,0.32680447796285245,0.364,0.2814402173913043,0.3001445705718569,1
1211861,0.9446672012830793,7.214294757021684,0.02,0.48833333333333334,0.5094417077175698,2
1211893,1.0,0.22697267285189807,0.0,0.105,0.10344827586206896,1
1212101,1.0,0.004159658546289765,0.0,0.105,0.10344827586206896,1
1212111,1.0,0.017904617220986383,0.0,0.1175,0.11576354679802955,1
1212113,1.0,0.2287812200459371,0.004,0.08375,0.08251231527093597,1
1212119,1.0,0.4823395366502089,0.004,0.21875,0.21551724137931036,1
1212161,1.0,0.22697267285189807,0.0,0.105,0.10344827586206896,1
1212170,0.9840848806366048,0.4823395366502089,0.004,0.46125,0.4618226600985222,1
1212171,0.975,0.4823395366502089,0.0,0.5825,0.5886699507389163,1
1212174,1.0,0.03508581556435715,0.0,0.1275,0.12561576354679804,1
1212177,1.0,0.5465429620385944,0.0,0.28250000000000003,0.27832512315270935,1
1212197,0.9811320754716981,0.39498670717812384,0.0,0.7775000000000001,0.7807881773399015,1
1212211,1.0,0.0025319660716546393,0.0,0.105,0.10344827586206896,1
1212233,0.7272727272727273,3.1072649340784544,0.0,0.0775,0.1059113300492611,1
1212477,1.0,3.585987376340585,0.0,0.065,0.06403940886699508,0
1212544,0.8863636363636364,0.22697267285189807,0.0,0.8750000000000001,0.9729064039408867,1
1212570,1.0,0.039607183549454715,0.0,0.105,0.10344827586206896,1
1212694,1.0,3.585987376340585,0.0,0.34,0.33497536945812806,0
1212702,0.9438890277430643,0.3114318268135207,0.264,0.27932835820895524,0.2917064921696934,1
1212806,0.9356459330143541,0.04051145714647423,0.168,0.22488372093023254,0.23696872493985566,1
1212823,1.0,0.1848335232307887,0.0,0.0925,0.09113300492610837,1
1212842,0.8975609756097561,1.8897509630513807,0.008,0.4575,0.5024630541871921,1
1212956,0.975,0.0575118007704411,0.0,0.5825,0.5886699507389163,1
